% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.031	1	1	4	2	1	28	2196	0	0
0.041	1	1	5	2	1	28	2196	0	0
0.051	1	1	6	2	1	28	2196	0	0
0.061	1	1	7	2	1	28	2196	0	0
0.071	1	1	8	2	1	28	2196	0	0
0.081	1	1	9	2	1	28	2196	0	0
0.091	1	1	10	2	1	28	2196	0	0
0.101	1	1	11	2	1	28	2196	0	0
0.111	1	1	12	2	1	28	2196	0	0
0.121	1	1	13	2	1	28	2196	0	0
0.131	1	1	14	2	1	28	2196	0	0
0.141	1	1	15	2	1	28	2196	0	0
0.151	1	1	16	2	1	28	2196	0	0
0.161	1	1	17	2	1	28	2196	0	0
0.171	1	1	18	2	1	28	2196	0	0
0.181	1	1	19	2	1	28	2196	0	0
0.191	1	1	20	2	1	28	2196	0	0
0.201	1	1	21	2	1	28	2196	0	0
0.211	1	1	22	2	1	28	2196	0	0
0.221	1	1	23	2	1	28	2196	0	0
0.231	1	1	24	2	1	28	2196	0	0
0.241	1	1	25	2	1	28	2196	0	0
0.251	1	1	26	2	1	28	2196	0	0
0.261	1	1	27	2	1	28	2196	0	0
0.271	1	1	28	2	1	28	2196	0	0
0.281	1	1	29	2	1	28	2196	0	0
0.291	1	1	30	2	1	28	2196	0	0
0.301	1	1	31	2	1	28	2196	0	0
0.311	1	1	32	2	1	28	2196	0	0
0.321	1	1	33	2	1	28	2196	0	0
0.331	1	1	34	2	1	28	2196	0	0
0.341	1	1	35	2	1	28	2196	0	0
0.351	1	1	36	2	1	28	2196	0	0
0.361	1	1	37	2	1	28	2196	0	0
0.371	1	1	38	2	1	28	2196	0	0
0.381	1	1	39	2	1	28	2196	0	0
0.391	1	1	40	2	1	28	2196	0	0
0.401	1	1	41	2	1	28	2196	0	0
0.411	1	1	42	2	1	28	2196	0	0
0.421	1	1	43	2	1	28	2196	0	0
0.431	1	1	44	2	1	28	2196	0	0
0.441	1	1	45	2	1	28	2196	0	0
0.451	1	1	46	2	1	28	2196	0	0
0.461	1	1	47	2	1	28	2196	0	0
0.471	1	1	48	2	1	28	2196	0	0
0.481	1	1	49	2	1	28	2196	0	0
0.491	1	1	50	2	1	28	2196	0	0
0.501	1	1	51	2	1	28	2196	0	0
0.511	1	1	52	2	1	28	2196	0	0
0.521	1	1	53	2	1	28	2196	0	0
0.531	1	1	54	2	1	28	2196	0	0
0.541	1	1	55	2	1	28	2196	0	0
0.551	1	1	56	2	1	28	2196	0	0
0.561	1	1	57	2	1	28	2196	0	0
0.571	1	1	58	2	1	28	2196	0	0
0.581	1	1	59	2	1	28	2196	0	0
0.591	1	1	60	2	1	28	2196	0	0
0.601	1	1	61	2	1	28	2196	0	0
0.611	1	1	62	2	1	28	2196	0	0
0.621	1	1	63	2	1	28	2196	0	0
0.631	1	1	64	2	1	28	2196	0	0
0.641	1	1	65	2	1	28	2196	0	0
0.651	1	1	66	2	1	28	2196	0	0
0.661	1	1	67	2	1	28	2196	0	0
0.671	1	1	68	2	1	28	2196	0	0
0.681	1	1	69	2	1	28	2196	0	0
0.691	1	1	70	2	1	28	2196	0	0
0.701	1	1	71	2	1	28	2196	0	0
0.711	1	1	72	2	1	28	2196	0	0
0.721	1	1	73	2	1	28	2196	0	0
0.731	1	1	74	2	1	28	2196	0	0
0.741	1	1	75	2	1	28	2196	0	0
0.751	1	1	76	2	1	28	2196	0	0
0.761	1	1	77	2	1	28	2196	0	0
0.771	1	1	78	2	1	28	2196	0	0
0.781	1	1	79	2	1	28	2196	0	0
0.791	1	1	80	2	1	28	2196	0	0
0.801	1	1	81	2	1	28	2196	0	0
0.811	1	1	82	2	1	28	2196	0	0
0.821	1	1	83	2	1	28	2196	0	0
0.831	1	1	84	2	1	28	2196	0	0
0.841	1	1	85	2	1	28	2196	0	0
0.851	1	1	86	2	1	28	2196	0	0
0.861	1	1	87	2	1	28	2196	0	0
0.871	1	1	88	2	1	28	2196	0	0
0.881	1	1	89	2	1	28	2196	0	0
0.891	1	1	90	2	1	28	2196	0	0
0.901	1	1	91	2	1	28	2196	0	0
0.911	1	1	92	2	1	28	2196	0	0
0.921	1	1	93	2	1	28	2196	0	0
0.931	1	1	94	2	1	28	2196	0	0
0.941	1	1	95	2	1	28	2196	0	0
0.951	1	1	96	2	1	28	2196	0	0
0.961	1	1	97	2	1	28	2196	0	0
0.971	1	1	98	2	1	28	2196	0	0
0.981	1	1	99	2	1	28	2196	0	0
0.991	1	1	100	2	1	28	2196	0	0
1.001	1	1	101	2	1	28	2196	0	0
1.011	1	1	102	2	1	28	2196	0	0
1.021	1	1	103	2	1	28	2196	0	0
1.031	1	1	104	2	1	28	2196	0	0
1.041	1	1	105	2	1	28	2196	0	0
1.051	1	1	106	2	1	28	2196	0	0
1.061	1	1	107	2	1	28	2196	0	0
1.071	1	1	108	2	1	28	2196	0	0
1.081	1	1	109	2	1	28	2196	0	0
1.091	1	1	110	2	1	28	2196	0	0
1.101	1	1	111	2	1	28	2196	0	0
1.111	1	1	112	2	1	28	2196	0	0
1.121	1	1	113	2	1	28	2196	0	0
1.131	1	1	114	2	1	28	2196	0	0
1.141	1	1	115	2	1	28	2196	0	0
1.151	1	1	116	2	1	28	2196	0	0
1.161	1	1	117	2	1	28	2196	0	0
1.171	1	1	118	2	1	28	2196	0	0
1.181	1	1	119	2	1	28	2196	0	0
1.191	1	1	120	2	1	28	2196	0	0
1.201	1	1	121	2	1	28	2196	0	0
1.211	1	1	122	2	1	28	2196	0	0
1.221	1	1	123	2	1	28	2196	0	0
1.231	1	1	124	2	1	28	2196	0	0
1.241	1	1	125	2	1	28	2196	0	0
1.251	1	1	126	2	1	28	2196	0	0
1.261	1	1	127	2	1	28	2196	0	0
1.271	1	1	128	2	1	28	2196	0	0
1.281	1	1	129	2	1	28	2196	0	0
1.291	1	1	130	2	1	28	2196	0	0
1.301	1	1	131	2	1	28	2196	0	0
1.311	1	1	132	2	1	28	2196	0	0
1.321	1	1	133	2	1	28	2196	0	0
1.331	1	1	134	2	1	28	2196	0	0
1.341	1	1	135	2	1	28	2196	0	0
1.351	1	1	136	2	1	28	2196	0	0
1.361	1	1	137	2	1	28	2196	0	0
1.371	1	1	138	2	1	28	2196	0	0
1.381	1	1	139	2	1	28	2196	0	0
1.391	1	1	140	2	1	28	2196	0	0
1.401	1	1	141	2	1	28	2196	0	0
1.411	1	1	142	2	1	28	2196	0	0
1.421	1	1	143	2	1	28	2196	0	0
1.431	1	1	144	2	1	28	2196	0	0
